OBJECTID,CODI_ENS,NOM_ENS,CODI_TIPUSSOL,TIPUSSOL,SUPERFICIE,EXTRACCIO
23,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.05904714,2022/11/07 23:47:56+00
24,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00281019,2022/11/07 23:47:56+00
25,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00267196,2022/11/07 23:47:56+00
26,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,63981.73074929,2022/11/07 23:47:56+00
27,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,6539.13798546,2022/11/07 23:47:56+00
28,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,2671.24853516,2022/11/07 23:47:56+00
29,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,471623.85503708,2022/11/07 23:47:56+00
64,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.03180945,2022/11/07 23:47:56+00
65,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00056362,2022/11/07 23:47:56+00
66,08200,SANT BOI DE LLOBREGAT,,,0.06576578,2022/11/07 23:47:56+00
67,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00296862,2022/11/07 23:47:56+00
68,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0408471,2022/11/07 23:47:56+00
69,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00098423,2022/11/07 23:47:57+00
70,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01352346,2022/11/07 23:47:57+00
71,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00798684,2022/11/07 23:47:57+00
72,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.02804151,2022/11/07 23:47:57+00
73,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01656789,2022/11/07 23:47:57+00
74,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.1078623,2022/11/07 23:47:57+00
75,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00224209,2022/11/07 23:47:57+00
76,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.43410405,2022/11/07 23:47:57+00
77,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00369268,2022/11/07 23:47:57+00
78,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,151746.57675607,2022/11/07 23:47:57+00
79,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.12537028,2022/11/07 23:47:57+00
80,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.2127323,2022/11/07 23:47:57+00
81,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00994518,2022/11/07 23:47:57+00
82,08200,SANT BOI DE LLOBREGAT,,,0.04407942,2022/11/07 23:47:57+00
83,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,18562.18835449,2022/11/07 23:47:57+00
84,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,88895.44926111,2022/11/07 23:47:57+00
85,08200,SANT BOI DE LLOBREGAT,2,Urbanitzable delimitat,260629.36338576,2022/11/07 23:47:57+00
86,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,0.92474101,2022/11/07 23:47:57+00
87,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,2754489.68634129,2022/11/07 23:47:57+00
97,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,90533.23818579,2022/11/07 23:47:57+00
88,08200,SANT BOI DE LLOBREGAT,2,Urbanitzable delimitat,88483.44582454,2022/11/07 23:47:57+00
89,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00038403,2022/11/07 23:47:57+00
90,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,5352.46583233,2022/11/07 23:47:57+00
91,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.03660294,2022/11/07 23:47:57+00
92,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00675871,2022/11/07 23:47:57+00
93,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.00031782,2022/11/07 23:47:57+00
94,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,3542.59892598,2022/11/07 23:47:57+00
33,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,14829.09538874,2022/11/07 23:47:56+00
34,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.04287531,2022/11/07 23:47:56+00
35,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00939008,2022/11/07 23:47:56+00
36,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.02878761,2022/11/07 23:47:56+00
37,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00213413,2022/11/07 23:47:56+00
38,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01258057,2022/11/07 23:47:56+00
39,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,1699.16229155,2022/11/07 23:47:56+00
40,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00589766,2022/11/07 23:47:56+00
41,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00733848,2022/11/07 23:47:56+00
42,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.38439331,2022/11/07 23:47:56+00
43,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01385874,2022/11/07 23:47:56+00
44,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0200728,2022/11/07 23:47:56+00
45,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01690861,2022/11/07 23:47:56+00
46,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.05977301,2022/11/07 23:47:56+00
47,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,273142.77202698,2022/11/07 23:47:56+00
48,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,46011.86141965,2022/11/07 23:47:56+00
49,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,39399.76355931,2022/11/07 23:47:56+00
50,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,152892.64392468,2022/11/07 23:47:56+00
51,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.00055551,2022/11/07 23:47:56+00
52,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,5558.3596812,2022/11/07 23:47:56+00
53,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.0397765,2022/11/07 23:47:56+00
54,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,6406.59680176,2022/11/07 23:47:56+00
55,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.30823799,2022/11/07 23:47:56+00
56,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,28477.59436035,2022/11/07 23:47:56+00
57,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.08675466,2022/11/07 23:47:56+00
58,08200,SANT BOI DE LLOBREGAT,,,0.1068835,2022/11/07 23:47:56+00
59,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00514568,2022/11/07 23:47:56+00
60,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,48149.23995743,2022/11/07 23:47:56+00
61,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,68626.57394861,2022/11/07 23:47:56+00
62,08200,SANT BOI DE LLOBREGAT,2,Urbanitzable delimitat,17960.5304238,2022/11/07 23:47:56+00
63,08200,SANT BOI DE LLOBREGAT,2,Urbanitzable delimitat,4673.67031004,2022/11/07 23:47:56+00
95,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.12174043,2022/11/07 23:47:57+00
96,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00036953,2022/11/07 23:47:57+00
98,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00392963,2022/11/07 23:47:57+00
99,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,274.8938021,2022/11/07 23:47:57+00
100,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00428673,2022/11/07 23:47:57+00
101,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00019718,2022/11/07 23:47:57+00
102,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00481586,2022/11/07 23:47:57+00
103,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.02922993,2022/11/07 23:47:57+00
104,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00047853,2022/11/07 23:47:57+00
105,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0105316,2022/11/07 23:47:57+00
106,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.03768902,2022/11/07 23:47:57+00
107,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.66412155,2022/11/07 23:47:57+00
108,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00047476,2022/11/07 23:47:57+00
109,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00830584,2022/11/07 23:47:57+00
110,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00493533,2022/11/07 23:47:57+00
111,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00028736,2022/11/07 23:47:57+00
112,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.1591387,2022/11/07 23:47:57+00
113,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00189138,2022/11/07 23:47:57+00
114,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00648686,2022/11/07 23:47:57+00
115,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,59.33772448,2022/11/07 23:47:57+00
116,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00909727,2022/11/07 23:47:57+00
117,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00375572,2022/11/07 23:47:57+00
118,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00412019,2022/11/07 23:47:57+00
119,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0004144,2022/11/07 23:47:57+00
120,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.5512363,2022/11/07 23:47:57+00
121,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,72147.47844898,2022/11/07 23:47:57+00
122,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.012131,2022/11/07 23:47:57+00
123,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00637195,2022/11/07 23:47:57+00
124,08200,SANT BOI DE LLOBREGAT,3,Urbà no consolidat,150627.4457977,2022/11/07 23:47:57+00
125,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0008262,2022/11/07 23:47:57+00
126,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0425996,2022/11/07 23:47:57+00
127,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00869665,2022/11/07 23:47:57+00
128,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.03909133,2022/11/07 23:47:57+00
129,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01315639,2022/11/07 23:47:57+00
130,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.18425715,2022/11/07 23:47:57+00
131,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.0125085,2022/11/07 23:47:57+00
132,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00218423,2022/11/07 23:47:57+00
133,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.04703921,2022/11/07 23:47:57+00
134,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,98093.76311033,2022/11/07 23:47:57+00
135,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.00310102,2022/11/07 23:47:57+00
136,08200,SANT BOI DE LLOBREGAT,2,Urbanitzable delimitat,132774.35399471,2022/11/07 23:47:57+00
137,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,484.43295409,2022/11/07 23:47:57+00
138,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,0.01455837,2022/11/07 23:47:57+00
139,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,3.42437391,2022/11/07 23:47:57+00
140,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,2035.17176659,2022/11/07 23:47:57+00
141,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.00662573,2022/11/07 23:47:57+00
142,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.27389054,2022/11/07 23:47:57+00
143,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.02317378,2022/11/07 23:47:57+00
144,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.0211008,2022/11/07 23:47:57+00
145,08200,SANT BOI DE LLOBREGAT,5,No urbanitzable,41529.15130446,2022/11/07 23:47:57+00
146,08200,SANT BOI DE LLOBREGAT,1,Urbanitzable no delimitat,0.07191557,2022/11/07 23:47:57+00
147,08200,SANT BOI DE LLOBREGAT,4,Urbà consolidat,7853411.09464395,2022/11/07 23:47:57+00
